group,year,sppcount
All groups,2020,2115985
All groups,2021,2130023
All groups,2022,2161755
Amphibians,2020,8250
Amphibians,2021,8395
Amphibians,2022,8536
Arachnids,2020,110615
Arachnids,2021,110615
Arachnids,2022,110615
Birds,2020,11158
Birds,2021,11162
Birds,2022,11188
Brown algae,2020,4326
Brown algae,2021,4381
Brown algae,2022,4541
Corals,2020,2175
Corals,2021,5610
Corals,2022,5574
Crustaceans,2020,80122
Crustaceans,2021,80122
Crustaceans,2022,80122
Ferns and Allies,2020,11800
Ferns and Allies,2021,11800
Ferns and Allies,2022,11800
Fishes,2020,35672
Fishes,2021,36058
Fishes,2022,36367
Flowering plants,2020,369000
Flowering plants,2021,369000
Flowering plants,2022,369000
Fungi and protists,2020,141326
Fungi and protists,2021,141381
Fungi and protists,2022,141541
Green algae,2020,11646
Green algae,2021,12090
Green algae,2022,12929
Gymnosperms,2020,1113
Gymnosperms,2021,1113
Gymnosperms,2022,1113
Horseshoe crabs,2020,4
Horseshoe crabs,2021,4
Horseshoe crabs,2022,4
Insects,2020,1053578
Insects,2021,1053578
Insects,2022,1053578
Invertebrates,2020,1478938
Invertebrates,2021,1491386
Invertebrates,2022,1521459
Lichens,2020,17000
Lichens,2021,17000
Lichens,2022,17000
Mammals,2020,6485
Mammals,2021,6578
Mammals,2022,6596
Molluscs,2020,80460
Molluscs,2021,83706
Molluscs,2022,113813
Mosses,2020,21925
Mosses,2021,21925
Mosses,2022,21925
Mushrooms,2020,120000
Mushrooms,2021,120000
Mushrooms,2022,120000
Other invertebrates,2020,151801
Other invertebrates,2021,157543
Other invertebrates,2022,157543
Plants,2020,422815
Plants,2021,423373
Plants,2022,424335
Red algae,2020,7331
Red algae,2021,7445
Red algae,2022,7568
Reptiles,2020,11341
Reptiles,2021,11690
Reptiles,2022,11733
Velvet worms,2020,183
Velvet worms,2021,208
Velvet worms,2022,210
Vertebrates,2020,72906
Vertebrates,2021,73883
Vertebrates,2022,74420
